text,note,theme,confidence
"I have been a member of the MGP since 1999. Since that time, even if from time to time I have doubted the expensive price of my monthly subscription, I am always members of this mutual.
Too many people think they want to pay a mutual insurance company at very low prices (€ 5) to be reimbursed at 1000 %.
I think that the subscription proposed by the MGP clearly reflects the refund made.
Thanks to the MGP, I have no fees to advance during my consultations with a doctor or the pharmacy.",4,Pricing,0.3319297730922699
"Not clear information when continuing the procedures, repetitive customer service emails without any intention to explain what is happening, no explanation received separately thanks to a customer service lady by telephone, abusive pricing",4,Customer Service,0.5166681408882141
"When he picks up the phone, chance? Breakdown software response and cannot inform us!
Much faster when you take out a contract. But when you need to talk about this contract for a buyout, no one !!!
For a week I have been doing the number 4 times a day, I stay online without anyone dropping out, a disc ...........",1,Coverage,0.2924394905567169
"The contract is a bit long to be completed.
Overall satisfied with the prices and efficiency of Direct Insurance.
I hope that termination with my old insurer will go well.
Cordially.",4,Pricing,0.3439547121524811
"Insurance L’Olivier Insurance very well for my car they listen to quick on your internet account all and manage well on the phone like recommend thank you

",5,Customer Service,0.6181927919387817
"I felt distraught in the face of the incompetence of the people I have had multiple times on the phone at the CNP to get a response to my problem, when they did not hang on to the nose! No explanation for my pb of industrial direct debits on my life insurance since ... October 2020 !!
So much so that I wonder if there is no diversion of money. They answer that the software cannot be mistaken but if he was not mistaken, he was then manipulated. When I read all the comments, I really ask myself the question and I invite everyone to contact a consumer protection organization to initiate a group action.",1,Customer Service,0.5870715975761414
"5% increase in the contract, two months after signature.",4,Coverage,0.4954895079135895
"I find your site very well done .... the different prices offered are good.
You can easily subscribe to insurance. There remains the home insurance to see your prices and in the event of a problem if you will be as effective.",3,Enrollment,0.3376617729663849
A very big concern with the maif. I had a disaster observed by expert and the manager refuses to compensate me. Yet on the costing of the expert it is very specified that it owes me to me.,2,Coverage,0.2556397020816803
"I am really satisfied with the price and the application in the meantime I will recommend my entourage who we need car insurance where else
Cordially
Thanks",1,Coverage,0.25284355878829956
"The mutual, the car, the housing, all my contracts have been at the MAAF for a long time.
The management and quality of the services are very good.
However, I deplore the decision -making concerning the sorting that the insurance companies do with good and bad customers.

Let me explain: I am assured of all risks, I had 1 non-responsible disaster in 2018 but was that of too much since it was added to 2 others in 2016 including 1 responsible. My car contract was terminated for this reason. I find this decision a little rider because I have never had any license incidents (withdrawal, alcohol, drugs) or non-payment, I have been regaling since obtaining my license in 1990. I find deplorable to have been marginalized at this stage.

So I am canceling my home contract because if I am a bad customer, as much as I terminate my other contracts, logical.

Here is my little story, it's cool",1,Coverage,0.26727864146232605
"On 10/26/2017, telephone canvassing by a person pretending to be social security, and telling me that there was a problem with my file. This person tells me that with the Macron law, hospital costs would no longer be taken into account by social security and the mutual, and that the costs could be exorbitant. After asking me for confirmation of my date of birth and my address, this person manages to offer me the subscription of additional insurance taking charge of the daily hospitalization allowances for my wife and myself. Very convincing, this person manages to make me communicate my bank details and my laptop number to finalize the file. On my laptop, I then receive the following message: ""Hello, the XXXXX code allows you to sign your Néoliane insurance contract which will start on 01/12/2017 for a direct debit of 22.79 €/month"".
Upon receipt of this SMS, the person makes me read the message and tells me that I will receive the written contract within about 15 days and he then leaves me a phone number that I can call if I did not receive the file.
After talking about it with my wife, she tries to contact them several times, but of course no answer. We therefore turn to Néoliane's customer service who confirms to us then that there is a validated contract, something that seems impossible to us since we have not communicated the code sent by SMS, allowing the signature of this .
Customer service then offers us to contact the broker who offered us this contract, something impossible since they do not answer on the phone.
How to withdraw from a contract within the deadlines provided, if we have neither the contract, the member number, nor the special conditions and nor the contact details of this so-called broker working on behalf of Néoliane.",5,Coverage,0.3103828430175781
